Nomzamo (Masiphumelele) Clinic,"Masiphumelele, Cape Town"
Northpine Clinic,"Brackenfell, Cape Town"
Nuwerus Municipality Satellite Clinic,"Nieuwe Rust, WCDMA01"
Nyanga Community Health Clinic,"Nyanga, Cape Town"
Ocean View Community Health Clinic,"Ocean View, Cape Town"
Onrus Clinic,"Hermanus, Overstrand"
Oudtshoorn Civic Centre Clinic,"Oudtshoorn, Eden"
Oudtshoorn District Council Clinic,"Oudtshoorn, Eden"
Oudtshoorn Health Centre Clinic,"Oudtshoorn, Eden"
Paarl Central Satellite Clinic,"Paarl, Drakenstein"
Paarl TC Newman Community Health Clinic,"Paarl, Drakenstein"
Pacaltsdorp Community Health Clinic,"George, Eden"
Parkdene Clinic,"Parkdene, George"
Parkwood Clinic,"Parkwood, Cape Town"
Parow Community Health Clinic,"Parow, Cape Town"
Paternoster Satellite Clinic,"Paternoster, Saldanha Bay"
Patriot Plein Clinic,"Paarl, Drakenstein"
Pawk Dental Clinic,"George, Eden"
Pelican Park Satellite Clinic,"Pelican Park, Cape Town"
Pella Satellite Clinic,"Pella, Cape Town"
Philippi Clinic,"Phillipi, Cape Town"
Phola Park Clinic,"Paarl, Drakenstein"
Phumlani Clinic,"Phillipi, Cape Town"
Piketberg Municipality Clinic,"Piketberg, Bergrivier"
Pinelands Satellite Clinic,"Pinelands, Cape Town"
Plettenberg Bay Community Health Clinic,"Bitou, Eden"
Porterville Municipality Satellite Clinic,"Porterville, Bergrivier"
Prince Albert Hospital,"Prince Albert, Central Karoo"
Prince Alfred Hamlet Clinic,"Prince Alfred Hamlet, Witzenberg"
Protea Park Clinic,"Atlantis, Cape Town"
Railton Clinic,"Swellendam, Overberg"
Ravensmead Community Health Clinic,"Ravensmead, Cape Town"
Rawsonville Clinic,"Rawsonville, Breede Valley"
Redelingshuys Municipality Satellite Clinic,"Redelinghuys, Bergrivier"
Reed Street Community Health Clinic,"Bellville, Cape Town"
Retreat Clinic,"Retreat, Cape Town"
Retreat Community Health Centre,"Retreat, Cape Town"
Rhodes Fruit Farm Clinic,"Stellenbosch, Boland"
Riebeeck Kasteel Clinic,"Riebeek Kasteel, Swartland"
Riebeeck West Clinic,"Riebeek West, Swartland"
Rietpoort Satellite Clinic,"Rietpoort, West Coast"
Riverlands Satellite Clinic,"Malmesbury, Swartland"
Riversdale Clinic,"Riversdale, Langeberg"
Riversdale Hospital Primary Health Care Clinic,"Riversdale, Langeberg"
Riviersonderend Clinic,"Riviersonderend, Theewaterskloof"
Robbie Nurock Community Health Clinic,"Cape Town, Western Cape"
Rocklands Clinic,"Mitchells Plain, Cape Town"
Rosemoor Clinic,"Rosemoor, George"
Russel's Rest Clinic,"Eerste River, Cape Town"
Rusthof (Gustrouw) Community Health Clinic,"The Strand, Cape Town"
Ruyterwacht Community Health Clinic,"Ruyterwacht, Cape Town"
S Paarl/Simondium Satellite Clinic and Mobile Clinic,"Paarl, Drakenstein"
Saldanha Clinic,"Saldanha, Saldanha Bay"
Sandhills Clinic,"Worcester, Breede Valley"
Sandy Point Clinic,"St.Helena Bay, Saldanha Bay"
Sarepta Clinic,"Sarepta, Cape Town"
Saron Clinic,"Saron, Drakenstein"
Saxon Sea Clinic,"Atlantis, Cape Town"
Schotscheskloof Satellite Clinic,"Cape Town, Western Cape"
Scottsdene Clinic,"Scottsdene, Cape Town"
Scottsdene Community Health Clinic,"Scottsdene, Cape Town"
Seawind Clinic,"Steenberg, Cape Town"
Sedgefield Clinic,"Sedgefield, Knysna"
Sentrum Clinic,"George, Eden"
Silvertown Clinic,"Silvertown, Cape Town"
Simonstown Satellite Clinic,"Simon's Town, Cape Town"
Sir Lowry's Pass Sun City Satellite Clinic,"Sir Lowry's Pass, Cape Town"
Slangrivier Clinic,"Slangrivier, Langeberg"
Soetendal/Hermon Satellite Clinic and Mobile Clinic,"Paarl, Drakenstein"
Somerset Street Clinic,"Worcester, Breede Valley"
Somerset West Clinic,"Somerset West, Stellenbosch"
Spencer Road Clinic,"Salt River, Cape Town"
St Vincent Community Health Clinic,"Belhar, Cape Town"
Stanford Clinic,"Stanford, Overstrand"
Still Bay Clinic,"Stilbaai, Langeberg"
Stofkraal Satellite Clinic,"Stofkraal, Matzikama"
Strandfontein Clinic,"Strandfontein, Cape Town"
Strooidak Clinic,"Robertson, Breede River Winelands"
Struisbaai Clinic,"Bredasdorp, Cape Agulhas"
Sun Valley Satellite Clinic,"Sun Valley, Cape Town"
Suurbraak Clinic,"Swellendam, Overberg"
Table View Clinic,"Table View, Cape Town"
Tafelsig Clinic,"Mitchells Plain, Cape Town"
Thembalethu Community Health Clinic,"Thembalethu, George"
Toekomsrus Clinic,"Oudtshoorn, Eden"
Touws River Clinic,"Touwsrivier, Breede Valley"
